F_peak,force_peak_step,F_drop_ratio,end_slope,force_auc,E_peak,E_softening_ratio,energy_auc,ux_s12_med,ux_s12_p95,ux_s12_max,R_local_p95,R_local_max,failure_score,failure_flag,__index_level_0__,P_fail,F_peak_norm,LocalRisk_norm,SustainabilityScore
0.88269,12,0.0,0.03913999999999995,4.77673,152.308352,0.0,451.615668,0.874045,2.3457419999999978,3.66926,2.683777147991489,4.198021836177746,0,0,60000,3.016987893238956e-06,0.3398268314937227,0.11818687762531094,0.6462745317278525
0.32616,12,0.0,0.008120000000000016,1.8994099999999998,169.517944,0.0,503.093366,0.62532,1.819371499999998,2.57993,2.9095047289235803,4.125775596293457,0,0,60001,3.016987893238956e-06,0.12556834150153803,0.150757360438737,0.532631190169075
0.69353,12,0.0,0.039490000000000025,3.6942200000000005,140.152966,0.0,415.658923,0.843665,2.0334299999999996,2.55504,2.4102339170046947,3.0285006453645695,0,0,60002,3.016987893238956e-06,0.2670021212949524,0.07871702167419092,0.6177561478186914
0.22079,12,0.0,0.012069999999999997,1.18167,176.696431,0.0,526.934081,0.5074700000000001,2.0256604999999994,2.67766,3.9916852149059334,5.2764892401984556,0,0,60003,3.016987893238956e-06,0.08500194419954801,0.3069063820787517,0.481118187190077
0.23187,12,0.0,0.004390000000000005,1.378,156.052689,0.0,463.68699599999997,0.674875,2.0088699999999995,2.75685,2.976654931688601,4.084978693706273,0,0,60004,3.016987893238956e-06,0.08926763350491054,0.16044653761436162,0.5125430007356363
0.69588,12,0.0,0.03844000000000003,3.7279,144.057632,0.0,427.633705,0.84805,2.0923905,2.8953,2.4672961470817807,3.414067562745042,0,0,60005,3.016987893238956e-06,0.2679068478172992,0.08695059409076072,0.6165617965965509
0.3001,12,0.0,0.008949999999999958,1.7102500000000003,159.608669,0.0,473.280901,0.704575,2.009044,2.99564,2.8514267425732864,4.251697825991984,0,0,60006,3.016987893238956e-06,0.11553550185372688,0.1423772234238025,0.5292907977481563
0.0,0,0.0,-0.08400999999999992,-5.76313,145.955497,0.0,432.45722,0.862895,2.2680099999999976,3.21246,2.6283730898563844,3.7228863260038754,1,0,60007,3.1567812120627097e-06,0.0,0.11019256467590505,0.47795990867421295
0.05836,12,0.0,0.00936,0.22547999999999999,139.540293,0.0,413.99942999999996,0.7994600000000001,1.9769495,2.64566,2.472856049742506,3.3093087792893843,0,0,60008,3.016987893238956e-06,0.022468016954960018,0.08775283860739314,0.49368193226205476
0.98044,12,0.0,0.06367999999999996,5.09073,170.06572,0.0,505.330287,0.97019,2.2889439999999994,3.67803,2.3592739542159014,3.7910409262195643,0,0,60009,3.016987893238956e-06,0.3774596049232522,0.0713639521674364,0.6744555035341921
0.43375,12,0.0,0.02081000000000005,2.37972,192.710689,0.0,573.0265870000001,0.73847,1.9762749999999973,2.60967,2.6761750610367687,3.5338876277521263,0,0,60010,3.016987893238956e-06,0.1669894166246386,0.11708996407366401,0.5600752070036399
0.08288,9,0.01930501930501919,-0.006100000000000008,0.5482400000000001,170.310389,0.0,506.52744299999995,0.65396,1.9792379999999985,2.5742,3.026542903195082,3.936326374799183,1,0,60011,4.017998211928545e-06,0.03190797198812691,0.16764492831096578,0.4824229913327644
0.28605,12,0.0,0.009020000000000028,1.67576,169.579649,0.0,505.647965,0.66769,2.2660964999999944,3.35572,3.3939350546002776,5.0258652892422155,0,0,60012,3.016987893238956e-06,0.1101263922201219,0.2206563489965509,0.5109304178168041
0.04039,12,0.0,0.0006000000000000033,0.25089999999999996,184.874655,0.0,550.990135,0.726635,2.0695685,2.81547,2.8481541587617523,3.874668844915716,0,0,60013,3.016987893238956e-06,0.015549746484078739,0.14190501867882216,0.47939236101232835
0.17109,12,0.0,0.009999999999999981,0.9119200000000001,149.326886,0.0,444.281404,0.8001149999999999,1.9559684999999993,2.32793,2.444609209370391,2.909494256563751,0,0,60014,3.016987893238956e-06,0.06586794072693813,0.08367707070577224,0.5161970477283679
0.0,0,0.0,-0.047589999999999966,-2.14227,135.221246,0.0,399.72990300000004,0.745935,1.9874624999999992,2.36622,2.6643909956438674,3.172153065384849,1,0,60015,3.1298285910989882e-06,0.0,0.11538962821852877,0.4769205094419987
0.03817,8,0.1283730678543359,-0.010100000000000001,0.21087999999999998,161.64597,0.0,481.00915800000007,0.6724049999999999,2.087090999999998,2.96711,3.1039195081774804,4.412682825956555,1,0,60016,6.4861360866882425e-06,0.014695068662968196,0.17880968439586198,0.4715823543842683
0.62945,12,0.0,0.025639999999999996,3.4238699999999995,151.623125,0.0,448.3522929999999,0.903875,2.4601735,3.57363,2.72180721590728,3.9536772186932074,0,0,60017,3.016987893238956e-06,0.2423319614855994,0.12367427827139033,0.596429616594575
0.0,0,0.0,-0.0795800000000001,-4.99996,164.657686,0.0,488.27375600000005,0.834835,1.9831504999999994,2.70054,2.3754999462462636,3.23481885254593,1,0,60018,3.1567812120627097e-06,0.0,0.07370521853981954,0.48525737790143003
0.134,12,0.0,0.004810000000000009,0.77064,149.537233,0.0,444.62077999999997,0.673345,1.9925534999999999,2.68452,2.9591865938572552,3.98684180622587,0,0,60019,3.016987893238956e-06,0.05158866127423994,0.15792601178953508,0.49420761978526634
0.8349,12,0.0,0.04972999999999994,4.40363,161.441745,0.0,479.25565700000004,0.9708600000000001,2.0918319999999992,3.33717,2.1546175533500005,3.43733390660102,0,0,60020,3.016987893238956e-06,0.3214281589392755,0.04183385327772293,0.6523458003201466
0.00418,6,0.5741626794258373,-0.007519999999999999,-0.08696,156.396836,0.0,463.389005,0.889345,2.065393,2.61342,2.322375453482759,2.9385896328887107,2,1,60021,0.9999778989504552,0.0016092582397486783,0.06603982660419139,-0.012392285676191534
0.0,0,0.0,-0.03445999999999999,-1.42282,154.824411,0.0,459.790643,0.78874,2.040305499999999,2.59683,2.5867909544503997,3.292377712183511,1,0,60022,3.426836374441897e-06,0.0,0.10419263227511605,0.47915976012678957
0.37757,12,0.0,0.040470000000000006,1.73634,138.462499,0.0,409.63407099999995,0.7945,1.940643,2.27475,2.442596598561867,2.8631214564340826,0,0,60023,3.016987893238956e-06,0.14536067789040874,0.08338666886175095,0.5560014966789076
0.0,0,0.0,-0.01888999999999999,-0.5259199999999999,141.454323,0.0,420.183415,0.77841,2.079614499999999,2.52353,2.6716184238747966,3.2419033629553793,1,0,60024,3.426836374441897e-06,0.0,0.11643248184770744,0.4767117902122713
0.48074,12,0.0,0.034009999999999985,2.44487,195.249909,0.0,582.8000890000001,0.56032,2.0221704999999988,2.63364,3.608956482708171,4.700242710058105,0,0,60025,3.016987893238956e-06,0.18508009717147839,0.2516820291539677,0.542202134260999
0.01768,7,0.3557692307692308,-0.014119999999999997,-0.007009999999999999,169.38108,0.0,502.637585,0.891925,2.6434575,3.73903,2.963766568978595,4.1920901374083135,2,1,60026,0.9997663802389958,0.006806623368123597,0.15858686147551293,-0.028197250730538678
0.09914,10,0.017450070607222205,-0.00408,0.6424000000000001,154.41499,0.0,459.416189,0.657475,2.0100205,2.67741,3.0571816372376417,4.072261296517341,1,0,60027,4.807492171757728e-06,0.03816790954274737,0.1720658252010917,0.4846683859850694
0.2851,12,0.0,0.013570000000000026,1.5721800000000004,191.842265,0.0,572.4205919999999,0.46796,1.9615779999999985,2.86387,4.191764244397458,6.119903397470075,0,0,60028,3.016987893238956e-06,0.1097606517110881,0.33577600698002225,0.48772361596559294
0.0,0,0.0,-0.01988000000000001,-1.9843100000000002,145.040263,0.0,431.06269599999996,0.81128,1.9899434999999999,2.39858,2.452844267758549,2.9565378131390667,1,0,60029,3.426836374441897e-06,0.0,0.08486531640703526,0.4830252233004057
